feature_family,feature_id,relative_day,horizon,t3_median,t5_median,t10_median,monotonicity,all_outcome_derived_values_evaluation_only
MOMENTUM,MACD_SIGNAL_12_26_9,-3,10,-0.09218744447052907,-0.0731154595389969,-0.01794144113584463,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-1,5,-0.2008471211440785,-0.1642367468726229,-0.04347105516695829,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,-1,10,-0.15709384273706137,-0.1438650327684007,-0.08311192964365009,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,0,5,-0.2607379520132042,-0.21792422840814804,-0.10951532217721753,NONDECREASING,True
MOMENTUM,MACD_SIGNAL_12_26_9,0,10,-0.21776939315597882,-0.2057904520442712,-0.13787676731306622,NONDECREASING,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-20,5,0.009843868562576429,0.0028859045995420054,-0.011216072466479614,NONINCREASING,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-20,10,0.0035768536521863007,0.0020294196616107672,-0.0007308185777414539,NONINCREASING,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-10,5,-0.0002804068816283764,0.001499139146233078,-0.001090742830157101,MIXED,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-10,10,-0.013528903790268774,-0.01613778344623711,-0.01722212891311409,NONINCREASING,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-5,5,-0.07818881212210371,-0.07462549870964531,-0.09995235363998849,MIXED,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-5,10,-0.052811673960017874,-0.054647708701779006,-0.06416390728228925,NONINCREASING,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-3,5,-0.16213682480119557,-0.1572727430990271,-0.1537226348045005,NONDECREASING,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-3,10,-0.09458614394864205,-0.08823298243470265,-0.089634018530607,MIXED,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-1,5,-0.2480558599911099,-0.2395496993976548,-0.26105847476554445,MIXED,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,-1,10,-0.187549949953876,-0.182700934183196,-0.18368761067648245,MIXED,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,0,5,-0.33143167796378425,-0.3323015774219788,-0.37851396201723037,NONINCREASING,True
MOMENTUM,MACD_HISTOGRAM_12_26_9,0,10,-0.3060368472165251,-0.29182535946326155,-0.2924764069615713,MIXED,True
MOMENTUM,rsi_change_5,-20,5,-0.8084779308337247,-1.0300732912815462,-1.1749150377063984,NONINCREASING,True
MOMENTUM,rsi_change_5,-20,10,-0.4241664138418635,-0.25095742413568445,-0.3681875387702007,MIXED,True
MOMENTUM,rsi_change_5,-10,5,0.28328572459118817,0.3696179388909897,0.09063931561532002,MIXED,True
MOMENTUM,rsi_change_5,-10,10,-0.20036037102235227,-0.03635868404142428,-0.07271323597594659,MIXED,True
MOMENTUM,rsi_change_5,-5,5,-4.403433279276847,-3.84130202305996,-3.4404661401511305,NONDECREASING,True
MOMENTUM,rsi_change_5,-5,10,-2.5476138357610587,-2.3263982427687893,-2.195502450719026,NONDECREASING,True
MOMENTUM,rsi_change_5,-3,5,-4.609125029177239,-3.787745254160299,-2.926092834211424,NONDECREASING,True
MOMENTUM,rsi_change_5,-3,10,-3.0393555761506157,-2.8637663050066138,-2.3599153474887586,NONDECREASING,True
MOMENTUM,rsi_change_5,-1,5,-4.990344461236127,-4.401593464286208,-4.0030842446685,NONDECREASING,True
MOMENTUM,rsi_change_5,-1,10,-4.857579546283642,-4.5829961160468216,-4.202438904815068,NONDECREASING,True
MOMENTUM,rsi_change_5,0,5,-6.969346480549568,-6.5602793236720345,-5.750958121243221,NONDECREASING,True
MOMENTUM,rsi_change_5,0,10,-7.623389556805563,-7.178563849544414,-6.466297770411721,NONDECREASING,True
MOMENTUM,macd_hist_change_5,-20,5,-0.012312169094423453,-0.019286620849114033,-0.03761745397866967,NONINCREASING,True
MOMENTUM,macd_hist_change_5,-20,10,-0.006392425821185743,-0.002613439139492389,-0.0014241328649347296,NONDECREASING,True
MOMENTUM,macd_hist_change_5,-10,5,0.00791055082887316,0.012067835973133788,0.03212483946229171,NONDECREASING,True
MOMENTUM,macd_hist_change_5,-10,10,0.007601454971683873,0.009669351181381874,0.01772966812335966,NONDECREASING,True
MOMENTUM,macd_hist_change_5,-5,5,-0.08521159755324614,-0.08398958927393742,-0.1007587901707264,MIXED,True
MOMENTUM,macd_hist_change_5,-5,10,-0.05060721244187807,-0.04587621631259413,-0.04778101318271949,MIXED,True
MOMENTUM,macd_hist_change_5,-3,5,-0.13704402461232462,-0.12539453283933377,-0.11402195212447452,NONDECREASING,True
MOMENTUM,macd_hist_change_5,-3,10,-0.07570776874407575,-0.06602559671763777,-0.06225471194145985,NONDECREASING,True
MOMENTUM,macd_hist_change_5,-1,5,-0.14198390310967052,-0.13317126049497446,-0.13860514084120124,MIXED,True
MOMENTUM,macd_hist_change_5,-1,10,-0.11678777061463827,-0.11956268384653704,-0.11688311647226364,MIXED,True
MOMENTUM,macd_hist_change_5,0,5,-0.1816751379935086,-0.18396351398986655,-0.20820535008084762,NONINCREASING,True
